"GEO_ID","NAME","P2_001N","P2_002N","P2_003N","P2_004N","P2_005N","P2_006N","P2_007N","P2_008N","P2_009N","P2_010N","P2_011N","P2_012N","P2_013N","P2_014N","P2_015N","P2_016N","P2_017N","P2_018N","P2_019N","P2_020N","P2_021N","P2_022N","P2_023N","P2_024N","P2_025N","P2_026N","P2_027N","P2_028N","P2_029N","P2_030N","P2_031N","P2_032N","P2_033N","P2_034N","P2_035N","P2_036N","P2_037N","P2_038N","P2_039N","P2_040N","P2_041N","P2_042N","P2_043N","P2_044N","P2_045N","P2_046N","P2_047N","P2_048N","P2_049N","P2_050N","P2_051N","P2_052N","P2_053N","P2_054N","P2_055N","P2_056N","P2_057N","P2_058N","P2_059N","P2_060N","P2_061N","P2_062N","P2_063N","P2_064N","P2_065N","P2_066N","P2_067N","P2_068N","P2_069N","P2_070N","P2_071N","P2_072N","P2_073N"
"0500000US51095","James City County, Virginia","78254","5199","73055","69307","56647","9832","165","2254","48","361","3748","3437","937","851","843","40","506","103","47","4","75","6","0","3","22","0","0","277","110","50","3","21","30","0","11","42","0","0","4","0","2","4","0","0","0","0","0","0","34","11","8","8","5","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"0500000US51097","King and Queen County, Virginia","6608","182","6426","6148","4460","1561","82","23","3","19","278","259","90","97","10","0","40","4","0","4","14","0","0","0","0","0","0","18","1","8","0","0","4","0","0","0","2","0","0","0","0","0","3","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US51099","King George County, Virginia","26723","1582","25141","23342","18709","3919","153","401","13","147","1799","1665","532","528","287","14","212","41","20","4","17","0","0","0","5","5","0","129","58","24","0","1","13","1","0","14","5","0","3","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","4","4"
"0500000US51101","King William County, Virginia","17810","476","17334","16575","13499","2585","277","129","9","76","759","691","209","271","71","3","96","19","13","7","0","0","0","1","1","0","0","46","25","6","0","2","4","0","0","4","0","0","0","1","0","0","4","0","0","0","0","0","18","9","3","3","1","0","0","2","0","0","0","0","0","0","0","0","4","3","0","0","0","1","0","0","0"
"0500000US51103","Lancaster County, Virginia","10919","125","10794","10518","7441","2946","14","77","1","39","276","248","75","81","20","2","54","9","0","0","0","0","0","1","6","0","0","21","3","0","0","0","6","2","0","5","0","0","3","0","1","1","0","0","0","0","0","0","5","0","3","0","1","1","0","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0"
"0500000US51105","Lee County, Virginia","22173","476","21697","21202","20193","868","69","39","0","33","495","477","58","307","20","1","85","1","0","0","0","0","0","0","2","3","0","16","1","5","0","0","4","1","0","0","0","0","0","4","0","0","0","1","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US51107","Loudoun County, Virginia","420959","59744","361215","339150","216865","29725","536","89372","227","2425","22065","20805","3952","2521","9574","190","2930","224","569","12","328","102","0","6","182","213","2","1142","336","269","15","94","121","11","19","189","53","1","19","0","1","8","6","0","0","0","0","0","114","62","0","22","6","4","0","11","4","0","5","0","0","0","0","0","2","0","0","0","0","2","0","2","2"
"0500000US51109","Louisa County, Virginia","37596","1365","36231","34417","28535","5365","93","251","18","155","1814","1705","624","600","126","6","239","46","12","2","37","1","0","4","6","2","0","98","45","10","0","4","6","0","12","11","3","0","0","0","1","0","4","0","2","0","0","0","9","0","0","0","5","1","0","3","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0"
"0500000US51111","Lunenburg County, Virginia","11936","589","11347","10882","7016","3773","32","25","5","31","465","444","164","147","33","9","59","16","3","1","7","0","0","0","5","0","0","14","5","0","7","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","7","3","0","0","0","0","0","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US51113","Madison County, Virginia","13837","441","13396","12773","11563","1056","14","86","1","53","623","589","245","180","45","12","79","14","2","3","6","3","0","0","0","0","0","29","21","0","0","0","0","0","1","0","3","0","0","0","0","4","0","0","0","0","0","0","5","0","0","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
